062247 x=-104.304,y=80.75650000000003,w=12.497099999999989,h=1.883599999999987
062248 x=-114.164,y=80.31420000000001,w=13.254999999999995,h=2.0576999999999686
063001 x=-99.4685,y=79.6888,w=13.241200000000006,h=2.166700000000006
063002 x=-106.569,y=78.91120000000002,w=12.702500000000015,h=2.2228000000000065
063003 x=-112.45,y=78.01099999999995,w=11.887,h=2.241900000000058
063004 x=-117.32,y=77.01350000000002,w=10.97399999999999,h=2.2377999999999787
063005 x=-121.378,y=75.9394,w=10.070999999999998,h=2.220299999999966
063006 x=-124.789,y=74.80490000000002,w=9.227999999999994,h=2.195699999999988
063007 x=-127.686,y=73.62250000000002,w=8.466000000000008,h=2.167999999999978
063008 x=-130.173,y=72.40170000000002,w=7.790000000000006,h=2.1396999999999906
063009 x=-132.33,y=71.14990000000002,w=7.193000000000012,h=2.111899999999963
063010 x=-134.219,y=69.8729,w=6.667999999999992,h=2.085399999999993
063011 x=-135.889,y=68.575,w=6.207000000000022,h=2.0604000000000013
063012 x=-137.377,y=67.25990000000003,w=5.800000000000011,h=2.0370999999999526
063013 x=-138.714,y=65.93020000000003,w=5.4410000000000025,h=2.015599999999978
063014 x=-139.923,y=64.58819999999999,w=5.121000000000009,h=1.9956000000000103
063015 x=-141.025,y=63.2356,w=4.837999999999994,h=1.9772000000000034
063016 x=-142.034,y=61.87389999999999,w=4.584000000000003,h=1.9603000000000108
063017 x=-142.964,y=60.50430000000002,w=4.356999999999999,h=1.9447999999999794
063018 x=-143.826,y=59.12790000000003,w=4.151999999999987,h=1.9302999999999741
063019 x=-144.628,y=57.7453,w=3.9679999999999893,h=1.9170999999999765
063020 x=-145.378,y=56.35730000000002,w=3.8009999999999877,h=1.904799999999966
063021 x=-146.081,y=54.96449999999997,w=3.647999999999996,h=1.8935000000000173
063022 x=-146.745,y=53.56740000000001,w=3.509999999999991,h=1.8829999999999885
063023 x=-147.372,y=52.16630000000003,w=3.3830000000000098,h=1.8734000000000037
063024 x=-147.968,y=50.76179999999998,w=3.266999999999996,h=1.8644000000000176
063025 x=-148.534,y=49.35399999999999,w=3.1599999999999966,h=1.856100000000005
063026 x=-149.076,y=47.94319999999998,w=3.062999999999988,h=1.8484999999999943
063027 x=-149.594,y=46.52979999999999,w=2.9729999999999848,h=1.8413000000000324
063028 x=-150.091,y=45.11379999999998,w=2.88900000000001,h=1.8347000000000335
063029 x=-150.57,y=43.69549999999997,w=2.8119999999999834,h=1.8285000000000196
063030 x=-151.032,y=42.27510000000002,w=2.741000000000014,h=1.8227999999999795
063031 x=-151.478,y=40.85270000000001,w=2.6750000000000114,h=1.8174999999999955
063032 x=-151.91,y=39.42840000000003,w=2.6140000000000043,h=1.8124999999999716
063033 x=-152.33,y=38.0024,w=2.558000000000021,h=1.8078999999999752
063034 x=-152.738,y=36.5747,w=2.5049999999999955,h=1.803699999999992
063035 x=-153.135,y=35.14549999999999,w=2.455999999999989,h=1.7997000000000014
063036 x=-153.522,y=33.71490000000001,w=2.4099999999999966,h=1.7959999999999852
063037 x=-153.901,y=32.28289999999998,w=2.3680000000000234,h=1.7926000000000357
063038 x=-154.272,y=30.84960000000002,w=2.3289999999999793,h=1.789499999999979
063039 x=-154.635,y=29.41519999999998,w=2.2920000000000016,h=1.7864999999999895
063040 x=-154.991,y=27.97960000000001,w=2.2580000000000098,h=1.7837000000000103
063041 x=-155.342,y=26.54299999999999,w=2.227000000000004,h=1.781200000000002
063042 x=-155.686,y=25.1054,w=2.1970000000000027,h=1.7787999999999897
063043 x=-156.026,y=23.66680000000001,w=2.1710000000000207,h=1.7767000000000124
063044 x=-156.361,y=22.22730000000001,w=2.1459999999999866,h=1.77479999999996
063045 x=-156.691,y=20.78710000000001,w=2.122000000000014,h=1.7728999999999893
063046 x=-157.018,y=19.3461,w=2.102000000000004,h=1.771200000000011
063047 x=-157.341,y=17.90429999999999,w=2.082000000000022,h=1.7697000000000003
063048 x=-157.662,y=16.46190000000001,w=2.0649999999999977,h=1.7683999999999997
063049 x=-157.979,y=15.01889999999999,w=2.0490000000000066,h=1.7671000000000294
063050 x=-158.294,y=13.57540000000001,w=2.0340000000000202,h=1.76589999999997
063051 x=-158.607,y=12.13130000000002,w=2.0209999999999866,h=1.7649999999999686
063052 x=-158.919,y=10.68679999999999,w=2.0100000000000193,h=1.764100000000001
063053 x=-159.228,y=9.241880000000018,w=2.0,h=1.7632199999999827
063054 x=-159.537,y=7.796580000000022,w=1.9920000000000186,h=1.7625799999999803
063055 x=-159.845,y=6.35095000000002,w=1.9849999999999852,h=1.7620299999999558
063056 x=-160.151,y=4.905060000000008,w=1.9780000000000086,h=1.7615599999999976
063057 x=-160.458,y=3.458920000000014,w=1.9739999999999895,h=1.7612299999999914
063058 x=-160.764,y=2.012599999999996,w=1.9699999999999989,h=1.7609800000000089
063059 x=-161.071,y=0.56616,w=1.968999999999994,h=1.7608200000000012
063060 x=-161.378,y=-0.8803900000000042,w=1.9679999999999893,h=1.7607800000000284
063061 x=-161.686,y=-2.326980000000001,w=1.968999999999994,h=1.7608200000000012
063062 x=-161.994,y=-3.773569999999997,w=1.9710000000000036,h=1.7609800000000102
063063 x=-162.304,y=-5.22013000000001,w=1.9739999999999895,h=1.7612200000000038
063064 x=-162.615,y=-6.666609999999997,w=1.9780000000000086,h=1.7615799999999924
063065 x=-162.928,y=-8.112979999999997,w=1.9849999999999852,h=1.7620399999999847
063066 x=-163.243,y=-9.559149999999994,w=1.9919999999999902,h=1.7625899999999879
063067 x=-163.56,y=-11.0051,w=2.0,h=1.7632299999999912
063068 x=-163.879,y=-12.45079999999999,w=2.009999999999991,h=1.7639999999999798
063069 x=-164.202,y=-13.89629999999999,w=2.0209999999999866,h=1.7649999999999686
063070 x=-164.528,y=-15.34129999999998,w=2.033999999999992,h=1.76589999999997
063071 x=-164.858,y=-16.786,w=2.0490000000000066,h=1.7670999999999921
063072 x=-165.191,y=-18.23030000000001,w=2.0649999999999977,h=1.7683999999999997
063073 x=-165.529,y=-19.67400000000001,w=2.0819999999999936,h=1.7697000000000003
063074 x=-165.872,y=-21.11729999999999,w=2.102000000000004,h=1.7711999999999897
063075 x=-166.219,y=-22.56,w=2.1219999999999857,h=1.7728999999999893
063076 x=-166.573,y=-24.00209999999999,w=2.146000000000015,h=1.7747999999999813
063077 x=-166.933,y=-25.4435,w=2.1709999999999923,h=1.7767000000000088
063078 x=-167.299,y=-26.88419999999999,w=2.1970000000000027,h=1.7788999999999895
063079 x=-167.673,y=-28.32419999999999,w=2.227000000000004,h=1.7811999999999806
063080 x=-168.055,y=-29.76330000000002,w=2.2580000000000098,h=1.7837000000000103
063081 x=-168.445,y=-31.20169999999999,w=2.2920000000000016,h=1.786499999999993
063082 x=-168.845,y=-32.63909999999998,w=2.3290000000000077,h=1.789499999999979
063083 x=-169.255,y=-34.07550000000001,w=2.367999999999995,h=1.7926000000000357
063084 x=-169.676,y=-35.51089999999999,w=2.4099999999999966,h=1.7959999999999852
063085 x=-170.109,y=-36.94520000000001,w=2.4560000000000173,h=1.7997000000000156
063086 x=-170.555,y=-38.37840000000001,w=2.5049999999999955,h=1.8037000000000134
063087 x=-171.016,y=-39.81029999999998,w=2.5579999999999927,h=1.8079999999999785
063088 x=-171.492,y=-41.24090000000001,w=2.6140000000000043,h=1.8125
063089 x=-171.985,y=-42.67019999999999,w=2.6750000000000114,h=1.8174999999999741
063090 x=-172.497,y=-44.0979,w=2.741000000000014,h=1.8227999999999795
063091 x=-173.03,y=-45.52399999999999,w=2.812000000000012,h=1.8284999999999982
063092 x=-173.586,y=-46.9485,w=2.88900000000001,h=1.834699999999991
063093 x=-174.167,y=-48.37110000000002,w=2.973000000000013,h=1.8413000000000324
063094 x=-174.775,y=-49.7917,w=3.0630000000000166,h=1.8485000000000014
063095 x=-175.414,y=-51.21010000000002,w=3.1599999999999966,h=1.8561000000000263
063096 x=-176.087,y=-52.6262,w=3.266999999999996,h=1.8644000000000105
063097 x=-176.799,y=-54.03970000000001,w=3.3830000000000098,h=1.8734000000000037
063098 x=-177.553,y=-55.4504,w=3.509999999999991,h=1.8830000000000098
063099 x=-178.355,y=-56.858,w=3.647999999999996,h=1.8935000000000102
063100 x=-179.211,y=-58.26210000000001,w=3.801000000000016,h=1.9048000000000087
063101 x=-180.0,y=-59.66239999999999,w=3.8400000000000034,h=1.9170999999999907
063102 x=178.886,y=-60.74145770653514,w=1.1140000000000043,h=1.613657706535129
063103 x=177.8189999999999,y=-62.27056769321882,w=2.181000000000097,h=1.766267693218829
063104 x=176.662,y=-63.80690000000001,w=3.337999999999994,h=1.9330000000000211
063105 x=175.399,y=-65.2128,w=4.600999999999999,h=1.9772000000000034
063106 x=174.014,y=-66.5838,w=5.120999999999981,h=1.9955999999999818
063107 x=172.485,y=-67.9457,w=5.440999999999974,h=2.0154999999999887
063108 x=170.789,y=-69.297,w=5.800000000000011,h=2.0370999999999952
063109 x=168.894,y=-70.6354,w=6.206999999999994,h=2.0604000000000013
063110 x=166.7630000000001,y=-71.9582,w=6.667999999999921,h=2.0853000000000037
063111 x=164.349,y=-73.2618,w=7.193000000000012,h=2.1118999999999772
063112 x=161.595,y=-74.54139999999998,w=7.789999999999992,h=2.1397999999999797
063113 x=158.432,y=-75.7905,w=8.466000000000008,h=2.1680999999999955
063114 x=154.7730000000001,y=-77.0006,w=9.227999999999895,h=2.1957000000000164
063115 x=150.519,y=-78.15970000000002,w=10.070999999999998,h=2.220300000000009
063116 x=145.558,y=-79.2513,w=10.974999999999994,h=2.237800000000007
063117 x=139.775,y=-80.2529,w=11.887,h=2.241900000000001
063118 x=133.078,y=-81.13399999999999,w=12.703000000000003,h=2.2227999999999923
063119 x=125.439,y=-81.8555,w=13.242000000000019,h=2.166700000000006
063120 x=116.945,y=-82.37189999999998,w=13.254999999999995,h=2.0576999999999828
063121 x=107.843,y=-82.6401,w=12.497,h=1.8836000000000155
063122 x=97.4491,y=-82.6328,w=11.9529,h=1.6440000000000055
063247 x=-105.849,y=80.75650000000003,w=12.496999999999986,h=1.883599999999987
063248 x=-115.709,y=80.31420000000001,w=13.25500000000001,h=2.0576999999999686
064001 x=-101.014,y=79.6888,w=13.241699999999994,h=2.166700000000006
064002 x=-108.114,y=78.91120000000002,w=12.7025,h=2.2228000000000065
064003 x=-113.995,y=78.01099999999995,w=11.887,h=2.241900000000058
064004 x=-118.866,y=77.01350000000002,w=10.974999999999994,h=2.2377999999999787
064005 x=-122.923,y=75.9394,w=10.070999999999998,h=2.220299999999966
064006 x=-126.334,y=74.80490000000002,w=9.228000000000009,h=2.195699999999988
064007 x=-129.231,y=73.62250000000002,w=8.465999999999994,h=2.167999999999978
064008 x=-131.718,y=72.40170000000002,w=7.788999999999987,h=2.1396999999999906
064009 x=-133.875,y=71.14990000000002,w=7.192999999999998,h=2.111899999999963
064010 x=-135.764,y=69.8729,w=6.668000000000006,h=2.085399999999993
064011 x=-137.434,y=68.575,w=6.206999999999994,h=2.0604000000000013
064012 x=-138.922,y=67.25990000000003,w=5.799999999999983,h=2.0370999999999526
064013 x=-140.259,y=65.93020000000003,w=5.440999999999974,h=2.015599999999978
064014 x=-141.468,y=64.58819999999999,w=5.120999999999981,h=1.9956000000000103
064015 x=-142.57,y=63.2356,w=4.837999999999994,h=1.9772000000000034
064016 x=-143.579,y=61.87389999999999,w=4.584000000000003,h=1.9603000000000108
064017 x=-144.509,y=60.50430000000002,w=4.356999999999999,h=1.9447999999999794
064018 x=-145.371,y=59.12790000000003,w=4.152000000000015,h=1.9302999999999741
064019 x=-146.173,y=57.7453,w=3.9679999999999893,h=1.9170999999999765
064020 x=-146.923,y=56.35730000000002,w=3.8000000000000114,h=1.904799999999966
064021 x=-147.626,y=54.96449999999997,w=3.647999999999996,h=1.8935000000000173
064022 x=-148.29,y=53.56740000000001,w=3.509999999999991,h=1.8829999999999885
064023 x=-148.917,y=52.16630000000003,w=3.3830000000000098,h=1.8734000000000037
064024 x=-149.513,y=50.76179999999998,w=3.266999999999996,h=1.8644000000000176
064025 x=-150.079,y=49.35399999999999,w=3.1599999999999966,h=1.856100000000005
064026 x=-150.621,y=47.94319999999998,w=3.0630000000000166,h=1.8484999999999943
064027 x=-151.139,y=46.52979999999999,w=2.973000000000013,h=1.8413000000000324
064028 x=-151.636,y=45.11379999999998,w=2.8889999999999816,h=1.8347000000000335
064029 x=-152.115,y=43.69549999999997,w=2.812000000000012,h=1.8285000000000196
064030 x=-152.577,y=42.27510000000002,w=2.7409999999999854,h=1.8227999999999795
064031 x=-153.023,y=40.85270000000001,w=2.674999999999983,h=1.8174999999999955
064032 x=-153.455,y=39.42840000000003,w=2.6140000000000043,h=1.8124999999999716
064033 x=-153.875,y=38.0024,w=2.5579999999999927,h=1.8078999999999752
064034 x=-154.283,y=36.5747,w=2.5049999999999955,h=1.803699999999992
064035 x=-154.68,y=35.14549999999999,w=2.4560000000000173,h=1.7997000000000014
064036 x=-155.067,y=33.71490000000001,w=2.4099999999999966,h=1.7959999999999852
064037 x=-155.446,y=32.28289999999998,w=2.367999999999995,h=1.7926000000000357
064038 x=-155.817,y=30.84960000000002,w=2.3290000000000077,h=1.789499999999979
064039 x=-156.18,y=29.41519999999998,w=2.2920000000000016,h=1.7864999999999895
064040 x=-156.536,y=27.97960000000001,w=2.2580000000000098,h=1.7837000000000103
064041 x=-156.887,y=26.54299999999999,w=2.227000000000004,h=1.781200000000002
064042 x=-157.231,y=25.1054,w=2.1970000000000027,h=1.7787999999999897
064043 x=-157.571,y=23.66680000000001,w=2.1709999999999923,h=1.7767000000000124
064044 x=-157.906,y=22.22730000000001,w=2.146000000000015,h=1.77479999999996
064045 x=-158.236,y=20.78710000000001,w=2.1219999999999857,h=1.7728999999999893
064046 x=-158.563,y=19.3461,w=2.1019999999999754,h=1.771200000000011
064047 x=-158.886,y=17.90429999999999,w=2.0819999999999936,h=1.7697000000000003
064048 x=-159.207,y=16.46190000000001,w=2.0649999999999977,h=1.7683999999999997
064049 x=-159.524,y=15.01889999999999,w=2.0490000000000066,h=1.7671000000000294
064050 x=-159.839,y=13.57540000000001,w=2.033999999999992,h=1.76589999999997
064051 x=-160.152,y=12.13130000000002,w=2.0209999999999866,h=1.7649999999999686
064052 x=-160.464,y=10.68679999999999,w=2.009999999999991,h=1.764100000000001
064053 x=-160.773,y=9.241880000000018,w=2.0,h=1.7632199999999827
064054 x=-161.082,y=7.796580000000022,w=1.9919999999999902,h=1.7625799999999803
064055 x=-161.39,y=6.35095000000002,w=1.9849999999999852,h=1.7620299999999558
064056 x=-161.697,y=4.905060000000008,w=1.9790000000000134,h=1.7615599999999976
064057 x=-162.003,y=3.458920000000014,w=1.9739999999999895,h=1.7612299999999914
064058 x=-162.31,y=2.012599999999996,w=1.9710000000000036,h=1.7609800000000089
064059 x=-162.616,y=0.56616,w=1.9690000000000225,h=1.7608200000000012
064060 x=-162.923,y=-0.8803900000000042,w=1.9679999999999893,h=1.7607800000000284
064061 x=-163.231,y=-2.326980000000001,w=1.968999999999994,h=1.7608200000000012
064062 x=-163.539,y=-3.773569999999997,w=1.9699999999999989,h=1.7609800000000102
064063 x=-163.849,y=-5.22013000000001,w=1.9739999999999895,h=1.7612200000000038
064064 x=-164.16,y=-6.666609999999997,w=1.9780000000000086,h=1.7615799999999924
064065 x=-164.473,y=-8.112979999999997,w=1.9840000000000089,h=1.7620399999999847
064066 x=-164.788,y=-9.559149999999994,w=1.9920000000000186,h=1.7625899999999879
064067 x=-165.105,y=-11.0051,w=2.0,h=1.7632299999999912
064068 x=-165.424,y=-12.45079999999999,w=2.0090000000000146,h=1.7639999999999798
064069 x=-165.747,y=-13.89629999999999,w=2.021000000000015,h=1.7649999999999686
064070 x=-166.073,y=-15.34129999999998,w=2.0340000000000202,h=1.76589999999997
064071 x=-166.403,y=-16.786,w=2.048999999999978,h=1.7670999999999921
064072 x=-166.736,y=-18.23030000000001,w=2.063999999999993,h=1.7683999999999997
064073 x=-167.074,y=-19.67400000000001,w=2.082000000000022,h=1.7697000000000003
064074 x=-167.417,y=-21.11729999999999,w=2.102000000000004,h=1.7711999999999897
064075 x=-167.765,y=-22.56,w=2.1229999999999905,h=1.7728999999999893
064076 x=-168.118,y=-24.00209999999999,w=2.1459999999999866,h=1.7747999999999813
064077 x=-168.478,y=-25.4435,w=2.1710000000000207,h=1.7767000000000088
064078 x=-168.844,y=-26.88419999999999,w=2.1970000000000027,h=1.7788999999999895
064079 x=-169.218,y=-28.32419999999999,w=2.2269999999999754,h=1.7811999999999806
064080 x=-169.6,y=-29.76330000000002,w=2.2579999999999814,h=1.7837000000000103
064081 x=-169.99,y=-31.20169999999999,w=2.2920000000000016,h=1.786499999999993
064082 x=-170.39,y=-32.63909999999998,w=2.3289999999999793,h=1.789499999999979
064083 x=-170.8,y=-34.07550000000001,w=2.3680000000000234,h=1.7926000000000357
064084 x=-171.221,y=-35.51089999999999,w=2.4099999999999966,h=1.7959999999999852
064085 x=-171.654,y=-36.94520000000001,w=2.455999999999989,h=1.7997000000000156
064086 x=-172.1,y=-38.37840000000001,w=2.5049999999999955,h=1.8037000000000134
064087 x=-172.561,y=-39.81029999999998,w=2.558000000000021,h=1.8079999999999785
064088 x=-173.037,y=-41.24090000000001,w=2.6140000000000043,h=1.8125
064089 x=-173.53,y=-42.67019999999999,w=2.6750000000000114,h=1.8174999999999741
064090 x=-174.043,y=-44.0979,w=2.7420000000000186,h=1.8227999999999795
064091 x=-174.575,y=-45.52399999999999,w=2.8119999999999834,h=1.8284999999999982
064092 x=-175.131,y=-46.9485,w=2.88900000000001,h=1.834699999999991
064093 x=-175.712,y=-48.37110000000002,w=2.9729999999999848,h=1.8413000000000324
064094 x=-176.32,y=-49.7917,w=3.062999999999988,h=1.8485000000000014
064095 x=-176.959,y=-51.21010000000002,w=3.1599999999999966,h=1.8561000000000263
064096 x=-177.632,y=-52.6262,w=3.265999999999991,h=1.8644000000000105
064097 x=-178.344,y=-54.03970000000001,w=3.3829999999999814,h=1.8734000000000037
064098 x=-179.098,y=-55.4504,w=3.5100000000000193,h=1.8830000000000098
064099 x=-179.9,y=-56.858,w=3.647999999999996,h=1.8935000000000102
064100 x=-180.0,y=-58.26210000000001,w=3.044000000000011,h=1.9048000000000087
064101 x=178.327,y=-59.44752327889849,w=1.6730000000000018,h=1.7022232788984866
064102 x=177.341,y=-60.97120739827373,w=2.658999999999992,h=1.843407398273719
064103 x=176.274,y=-62.44909999999999,w=3.725999999999999,h=1.9447999999999936
064104 x=175.1169999999999,y=-63.8342,w=4.584000000000202,h=1.9603000000000108
064105 x=173.854,y=-65.2128,w=4.837999999999994,h=1.9772000000000034
064106 x=172.469,y=-66.5838,w=5.121000000000009,h=1.9955999999999818
064107 x=170.94,y=-67.9457,w=5.440999999999889,h=2.0154999999999887
064108 x=169.244,y=-69.297,w=5.800000000000011,h=2.0370999999999952
064109 x=167.349,y=-70.6354,w=6.207000000000022,h=2.0604000000000013
064110 x=165.218,y=-71.9582,w=6.668000000000006,h=2.0853000000000037
064111 x=162.804,y=-73.2618,w=7.193000000000012,h=2.1118999999999772
064112 x=160.05,y=-74.54139999999998,w=7.789999999999992,h=2.1397999999999797
064113 x=156.887,y=-75.7905,w=8.466000000000008,h=2.1680999999999955
064114 x=153.228,y=-77.0006,w=9.22799999999998,h=2.1957000000000164
064115 x=148.9739999999999,y=-78.15970000000002,w=10.071000000000083,h=2.220300000000009
064116 x=144.0130000000001,y=-79.2513,w=10.974999999999909,h=2.237800000000007
064117 x=138.23,y=-80.2529,w=11.887,h=2.241900000000001
064118 x=131.533,y=-81.13399999999999,w=12.703000000000003,h=2.2227999999999923
064119 x=123.894,y=-81.8555,w=13.24199999999999,h=2.166700000000006
064120 x=115.4,y=-82.37189999999998,w=13.254999999999995,h=2.0576999999999828
064121 x=106.298,y=-82.6401,w=12.497,h=1.8836000000000155
064122 x=95.90409999999999,y=-82.6328,w=11.952900000000014,h=1.6440000000000055
064247 x=-107.394,y=80.75650000000003,w=12.497000000000014,h=1.883599999999987
064248 x=-117.254,y=80.31420000000001,w=13.25500000000001,h=2.0576999999999686
065001 x=-102.559,y=79.6888,w=13.241599999999991,h=2.166700000000006
065002 x=-109.659,y=78.91120000000002,w=12.702400000000011,h=2.2228000000000065
065003 x=-115.54,y=78.01099999999995,w=11.887,h=2.241900000000058
065004 x=-120.411,y=77.01350000000002,w=10.974999999999994,h=2.2377999999999787
065005 x=-124.468,y=75.9394,w=10.070999999999998,h=2.220299999999966
065006 x=-127.879,y=74.80490000000002,w=9.228000000000009,h=2.195699999999988
065007 x=-130.776,y=73.62250000000002,w=8.466000000000008,h=2.167999999999978
065008 x=-133.263,y=72.40170000000002,w=7.7890000000000015,h=2.1396999999999906
065009 x=-135.42,y=71.14990000000002,w=7.192999999999984,h=2.111899999999963
065010 x=-137.309,y=69.8729,w=6.668000000000006,h=2.085399999999993
065011 x=-138.979,y=68.575,w=6.207000000000022,h=2.0604000000000013
065012 x=-140.467,y=67.25990000000003,w=5.800000000000011,h=2.0370999999999526
065013 x=-141.804,y=65.93020000000003,w=5.4410000000000025,h=2.015599999999978
065014 x=-143.013,y=64.58819999999999,w=5.121000000000009,h=1.9956000000000103
065015 x=-144.115,y=63.2356,w=4.838000000000022,h=1.9772000000000034
065016 x=-145.124,y=61.87389999999999,w=4.584000000000003,h=1.9603000000000108
065017 x=-146.054,y=60.50430000000002,w=4.3559999999999945,h=1.9447999999999794
065018 x=-146.916,y=59.12790000000003,w=4.151999999999987,h=1.9302999999999741
065019 x=-147.718,y=57.7453,w=3.9679999999999893,h=1.9170999999999765
065020 x=-148.468,y=56.35730000000002,w=3.799999999999983,h=1.904799999999966
065021 x=-149.171,y=54.96449999999997,w=3.6469999999999914,h=1.8935000000000173
065022 x=-149.835,y=53.56740000000001,w=3.5100000000000193,h=1.8829999999999885
065023 x=-150.462,y=52.16630000000003,w=3.3829999999999814,h=1.8734000000000037
065024 x=-151.058,y=50.76179999999998,w=3.266999999999996,h=1.8644000000000176
065025 x=-151.624,y=49.35399999999999,w=3.1599999999999966,h=1.856100000000005
065026 x=-152.166,y=47.94319999999998,w=3.062999999999988,h=1.8484999999999943
065027 x=-152.684,y=46.52979999999999,w=2.9720000000000084,h=1.8413000000000324
065028 x=-153.181,y=45.11379999999998,w=2.88900000000001,h=1.8347000000000335
065029 x=-153.66,y=43.69549999999997,w=2.8119999999999834,h=1.8285000000000196
065030 x=-154.122,y=42.27510000000002,w=2.741000000000014,h=1.8227999999999795
065031 x=-154.568,y=40.85270000000001,w=2.6750000000000114,h=1.8174999999999955
065032 x=-155.0,y=39.42840000000003,w=2.6140000000000043,h=1.8124999999999716
065033 x=-155.42,y=38.0024,w=2.556999999999988,h=1.8078999999999752
065034 x=-155.828,y=36.5747,w=2.5049999999999955,h=1.803699999999992
065035 x=-156.225,y=35.14549999999999,w=2.455999999999989,h=1.7997000000000014
065036 x=-156.613,y=33.71490000000001,w=2.4110000000000014,h=1.7959999999999852
065037 x=-156.991,y=32.28289999999998,w=2.3680000000000234,h=1.7926000000000357
065038 x=-157.362,y=30.84960000000002,w=2.3290000000000077,h=1.789499999999979
065039 x=-157.725,y=29.41519999999998,w=2.2920000000000016,h=1.7864999999999895
065040 x=-158.082,y=27.97960000000001,w=2.258999999999986,h=1.7837000000000103
065041 x=-158.432,y=26.54299999999999,w=2.2269999999999754,h=1.781200000000002
065042 x=-158.776,y=25.1054,w=2.1970000000000027,h=1.7787999999999897
065043 x=-159.116,y=23.66680000000001,w=2.1710000000000207,h=1.7767000000000124
065044 x=-159.451,y=22.22730000000001,w=2.1459999999999866,h=1.77479999999996
065045 x=-159.781,y=20.78710000000001,w=2.122000000000014,h=1.7728999999999893
065046 x=-160.108,y=19.3461,w=2.100999999999999,h=1.771200000000011
065047 x=-160.431,y=17.90429999999999,w=2.082000000000022,h=1.7697000000000003
065048 x=-160.752,y=16.46190000000001,w=2.0649999999999977,h=1.7683999999999997
065049 x=-161.069,y=15.01889999999999,w=2.048000000000002,h=1.7671000000000294
065050 x=-161.384,y=13.57540000000001,w=2.033999999999992,h=1.76589999999997
065051 x=-161.697,y=12.13130000000002,w=2.021000000000015,h=1.7649999999999686
065052 x=-162.009,y=10.68679999999999,w=2.009999999999991,h=1.764100000000001
065053 x=-162.318,y=9.241880000000018,w=2.0,h=1.7632199999999827
065054 x=-162.627,y=7.796580000000022,w=1.9910000000000139,h=1.7625799999999803
065055 x=-162.935,y=6.35095000000002,w=1.9850000000000136,h=1.7620299999999558
065056 x=-163.242,y=4.905060000000008,w=1.978999999999985,h=1.7615599999999976
065057 x=-163.548,y=3.458920000000014,w=1.9739999999999895,h=1.7612299999999914
065058 x=-163.855,y=2.012599999999996,w=1.9710000000000036,h=1.7609800000000089
065059 x=-164.161,y=0.56616,w=1.9679999999999893,h=1.7608200000000012
065060 x=-164.468,y=-0.8803900000000042,w=1.9679999999999893,h=1.7607800000000284
065061 x=-164.776,y=-2.326980000000001,w=1.9690000000000225,h=1.7608200000000012
065062 x=-165.084,y=-3.773569999999997,w=1.9699999999999989,h=1.7609800000000102
065063 x=-165.394,y=-5.22013000000001,w=1.974000000000018,h=1.7612200000000038
065064 x=-165.705,y=-6.666609999999997,w=1.9780000000000086,h=1.7615799999999924
065065 x=-166.018,y=-8.112979999999997,w=1.9840000000000089,h=1.7620399999999847
065066 x=-166.333,y=-9.559149999999994,w=1.9919999999999902,h=1.7625899999999879
065067 x=-166.65,y=-11.0051,w=2.0,h=1.7632299999999912
065068 x=-166.97,y=-12.45079999999999,w=2.009999999999991,h=1.7639999999999798
065069 x=-167.292,y=-13.89629999999999,w=2.021000000000015,h=1.7649999999999686
065070 x=-167.618,y=-15.34129999999998,w=2.033999999999992,h=1.76589999999997
065071 x=-167.948,y=-16.786,w=2.0490000000000066,h=1.7670999999999921
065072 x=-168.281,y=-18.23030000000001,w=2.063999999999993,h=1.7683999999999997
065073 x=-168.619,y=-19.67400000000001,w=2.0819999999999936,h=1.7697000000000003
065074 x=-168.962,y=-21.11729999999999,w=2.1019999999999754,h=1.7711999999999897
065075 x=-169.31,y=-22.56,w=2.1229999999999905,h=1.7728999999999893
065076 x=-169.663,y=-24.00209999999999,w=2.1450000000000102,h=1.7747999999999813
065077 x=-170.023,y=-25.4435,w=2.1709999999999923,h=1.7767000000000088
065078 x=-170.389,y=-26.88419999999999,w=2.1970000000000027,h=1.7788999999999895
065079 x=-170.763,y=-28.32419999999999,w=2.227000000000004,h=1.7811999999999806
065080 x=-171.145,y=-29.76330000000002,w=2.2580000000000098,h=1.7837000000000103
065081 x=-171.535,y=-31.20169999999999,w=2.2920000000000016,h=1.786499999999993
065082 x=-171.935,y=-32.63909999999998,w=2.3290000000000077,h=1.789499999999979
065083 x=-172.345,y=-34.07550000000001,w=2.367999999999995,h=1.7926000000000357
065084 x=-172.766,y=-35.51089999999999,w=2.4099999999999966,h=1.7959999999999852
065085 x=-173.199,y=-36.94520000000001,w=2.4560000000000173,h=1.7997000000000156
065086 x=-173.645,y=-38.37840000000001,w=2.504000000000019,h=1.8037000000000134
065087 x=-174.106,y=-39.81029999999998,w=2.5579999999999927,h=1.8079999999999785
065088 x=-174.582,y=-41.24090000000001,w=2.6140000000000043,h=1.8125
065089 x=-175.075,y=-42.67019999999999,w=2.674999999999983,h=1.8174999999999741
065090 x=-175.588,y=-44.0979,w=2.7419999999999902,h=1.8227999999999795
065091 x=-176.12,y=-45.52399999999999,w=2.812000000000012,h=1.8284999999999982
065092 x=-176.676,y=-46.9485,w=2.8889999999999816,h=1.834699999999991
065093 x=-177.257,y=-48.37110000000002,w=2.973000000000013,h=1.8413000000000324
065094 x=-177.865,y=-49.7917,w=3.062000000000012,h=1.8485000000000014
